City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ust'-ilimsk,58.0006,102.6619,2.79,87,66,1.89,RU,1694380400
1,iqaluit,63.7506,-68.5145,6.85,75,75,3.6,CA,1694380400
2,blackmans bay,-43.0167,147.3167,1.52,93,71,2.47,AU,1694380401
3,adamstown,-25.066,-130.1015,21.31,89,23,7.4,PN,1694380401
4,waitangi,-43.9535,-176.5597,12.68,88,32,5.36,NZ,1694380401
5,hawaiian paradise park,19.5933,-154.9731,27.71,78,100,2.57,US,1694380401
6,tieli,46.95,128.05,14.17,94,6,2.52,CN,1694380401
7,sitka,57.0531,-135.33,21.94,37,75,7.2,US,1694380317
8,santo domingo petapa,16.8181,-95.1403,30.26,61,55,5.62,MX,1694380402
9,yellowknife,62.456,-114.3525,17.45,66,20,6.71,CA,1694380402
10,talnakh,69.4865,88.3972,10.67,99,100,2.37,RU,1694380402
11,utrik,11.2278,169.8474,28.46,78,100,5.22,MH,1694380402
12,shahrak,34.1074,64.3052,15.28,25,0,0.87,AF,1694380403
13,roja,57.5,22.8167,16.4,89,91,2.66,LV,1694380403
14,quesada,10.3238,-84.4271,24.23,84,95,2.31,CR,1694380403
15,kodiak,57.79,-152.4072,8.96,83,100,4.81,US,1694380403
16,maintirano,-18.0667,44.0167,24.17,81,8,1.15,MG,1694380404
17,whitehorse,60.7161,-135.0538,15.61,48,75,3.09,CA,1694380404
18,grytviken,-54.2811,-36.5092,-1.56,87,90,2.34,GS,1694380404
19,isafjordur,66.0755,-23.124,5.39,64,3,3.48,IS,1694380404
20,qamdo,31.1667,97.2333,5.7,92,100,3.21,CN,1694380405
21,bredasdorp,-34.5322,20.0403,8.11,70,95,6.39,ZA,1694380405
22,margaret river,-33.95,115.0667,15.85,87,5,5.88,AU,1694380405
23,zouerate,22.7187,-12.4521,31.15,37,63,7.8,MR,1694380405
24,tiruchirappalli,10.8167,78.6833,28.06,74,40,4.12,IN,1694380405
25,canitas de felipe pescador,23.6,-102.7167,28.36,19,4,6.44,MX,1694380406
26,ola,59.5833,151.2833,6.19,80,8,1.75,RU,1694380406
27,vila velha,-20.3297,-40.2925,23.3,86,40,6.69,BR,1694380406
28,christchurch,-43.5333,172.6333,15.53,68,40,2.06,NZ,1694380200
29,kununurra,-15.7667,128.7333,27.99,23,100,7.2,AU,1694380406
30,east london,-33.0153,27.9116,18.37,80,93,1.76,ZA,1694380407
31,puerto natales,-51.7236,-72.4875,3.37,98,100,0.45,CL,1694380243
32,atafu village,-8.5421,-172.5159,27.95,74,100,2.53,TK,1694380407
33,fale old settlement,-9.3852,-171.2468,28.0,75,98,2.81,TK,1694380407
34,puerto armuelles,8.2833,-82.8667,29.99,72,27,0.45,PA,1694380407
35,panama city beach,30.1766,-85.8055,32.25,63,40,5.14,US,1694380103
36,albany,42.6001,-73.9662,24.23,96,100,0.26,US,1694380304
37,ilulissat,69.2167,-51.1,4.01,60,20,1.54,GL,1694380408
38,edinburgh of the seven seas,-37.0676,-12.3116,11.97,68,100,12.82,SH,1694380408
39,vila franca do campo,37.7167,-25.4333,20.23,73,48,0.53,PT,1694380409
40,an nuhud,12.7,28.4333,29.0,56,87,3.7,SD,1694380307
41,thompson,55.7435,-97.8558,15.09,47,40,3.6,CA,1694380409
42,inirida,3.8653,-67.9239,28.48,74,84,1.77,CO,1694380409
43,hythe,50.86,-1.4016,19.98,95,75,2.06,GB,1694380409
44,elko,41.0002,-115.5012,27.86,19,2,6.26,US,1694380410
45,mount isa,-20.7333,139.5,16.87,17,12,3.09,AU,1694380410
46,bilibino,68.0546,166.4372,3.52,77,23,0.79,RU,1694380410
47,jamestown,42.097,-79.2353,22.77,78,100,4.63,US,1694380347
48,ha giang,22.8333,104.9833,24.22,94,32,1.22,VN,1694380410
49,pachino,36.7186,15.0907,24.11,69,82,1.77,IT,1694380411
50,kingston,17.997,-76.7936,31.37,65,49,1.17,JM,1694380032
51,mugia,43.1041,-9.2179,19.53,87,72,2.08,ES,1694380411
52,college,64.8569,-147.8028,13.18,73,75,0.0,US,1694380411
53,invercargill,-46.4,168.35,6.68,89,49,10.28,NZ,1694380411
54,magadan,59.5667,150.8,5.85,77,2,0.83,RU,1694380412
55,san patricio,28.017,-97.5169,38.4,51,70,6.23,US,1694380412
56,st. john's,47.5649,-52.7093,24.04,85,40,4.63,CA,1694380363
57,lihue,21.9789,-159.3672,28.58,74,75,6.69,US,1694380412
58,puerto ayora,-0.7393,-90.3518,26.98,90,47,4.02,EC,1694380412
59,kill devil hills,36.0307,-75.676,28.0,89,100,0.0,US,1694380126
60,susuman,62.7833,148.1667,2.09,100,100,0.62,RU,1694380183
61,papatowai,-46.5619,169.4708,10.23,72,49,5.18,NZ,1694380413
62,kuala terengganu,5.3302,103.1408,24.97,94,20,1.54,MY,1694380413
63,ohara,35.25,140.3833,25.5,90,100,1.63,JP,1694380413
64,udachny,66.4167,112.4,4.14,59,60,3.66,RU,1694380413
65,lagos,6.5833,3.75,24.96,91,29,2.41,NG,1694380382
66,wailua homesteads,22.0669,-159.378,28.24,75,75,6.69,US,1694380414
67,juan griego,11.0817,-63.9655,38.07,41,67,5.14,VE,1694380414
68,north battleford,52.7834,-108.2847,23.56,33,75,0.0,CA,1694380414
69,queenstown,-31.8976,26.8753,15.88,35,0,7.62,ZA,1694380190
70,bethel,41.3712,-73.414,23.69,86,20,1.54,US,1694380415
71,iskateley,67.6803,53.1512,11.38,88,26,5.1,RU,1694380415
72,martapura,-3.4167,114.85,25.05,100,70,1.03,ID,1694380415
73,rabo de peixe,37.8,-25.5833,19.73,83,20,3.6,PT,1694380415
74,geraldton,-28.7667,114.6,12.23,100,40,4.63,AU,1694380415
75,remire-montjoly,4.9167,-52.2667,30.02,74,40,4.12,GF,1694380416
76,port-aux-francais,-49.35,70.2167,2.57,71,62,13.36,TF,1694380416
77,port saint john's,-31.6229,29.5448,19.11,77,82,2.53,ZA,1694380416
78,manado,1.487,124.8455,23.43,94,40,0.51,ID,1694380416
79,guiuan,11.0333,125.7247,27.92,74,87,3.17,PH,1694380417
80,stanley,54.868,-1.6985,17.1,94,75,2.06,GB,1694380417
81,mahbubabad,17.6167,80.0167,24.04,95,100,5.98,IN,1694380417
82,avarua,-21.2078,-159.775,23.03,83,100,7.2,CK,1694380417
83,ushuaia,-54.8,-68.3,6.81,57,20,2.06,AR,1694380417
84,kigorobya,1.6162,31.3089,19.91,90,100,2.72,UG,1694380418
85,georgetown,5.4112,100.3354,27.75,95,20,1.03,MY,1694380418
86,new norfolk,-42.7826,147.0587,2.18,92,73,1.14,AU,1694380418
87,jayapura,-2.5333,140.7,23.66,89,99,2.13,ID,1694380418
88,margate,51.3813,1.3862,22.61,73,71,1.79,GB,1694380246
89,alofi,-19.0595,-169.9187,25.94,61,85,8.23,NU,1694380419
90,bhadrachalam,17.6667,80.8833,24.73,96,100,2.43,IN,1694380419
91,nieuw amsterdam,5.8833,-55.0833,28.49,75,22,5.61,SR,1694380419
92,palmer,42.1584,-72.3287,22.65,85,100,2.06,US,1694380372
93,fada,9.5667,8.3,21.58,96,27,0.5,NG,1694380421
94,hermanus,-34.4187,19.2345,10.45,57,100,9.26,ZA,1694380421
95,chonchi,-42.6128,-73.8092,11.73,75,82,2.45,CL,1694380421
96,nemuro,43.3236,145.575,16.73,94,88,1.39,JP,1694380422
97,saint-philippe,-21.3585,55.7679,19.77,79,40,5.21,RE,1694380422
98,tual,-5.6667,132.75,25.3,87,87,9.07,ID,1694380423
99,muroto-misakicho,33.2833,134.15,25.23,81,37,2.86,JP,1694380423
100,west island,-12.1568,96.8225,24.99,78,40,3.09,CC,1694380424
101,la passe,45.5549,-0.8967,24.13,89,70,3.82,FR,1694380424
102,corinto,37.9407,22.9573,22.72,56,0,3.09,GR,1694380424
103,guerrero negro,27.9769,-114.0611,26.77,61,1,6.27,MX,1694380424
104,taro,-8.3862,115.28,22.0,92,70,0.84,ID,1694380424
105,tarinkot,32.6268,65.8733,23.52,11,0,0.99,AF,1694380425
106,cozumel,20.5083,-86.9458,31.64,82,40,3.09,MX,1694380425
107,al miqdadiyah,33.9786,44.9369,31.31,24,0,3.63,IQ,1694380425
108,saudarkrokur,65.7461,-19.6394,5.64,84,100,2.48,IS,1694380425
109,darovskoy,58.77,47.9564,9.22,91,12,2.26,RU,1694380426
110,bury st edmunds,52.2463,0.7111,21.9,100,20,2.57,GB,1694380426
111,olonkinbyen,70.9221,-8.7187,2.24,70,86,3.28,SJ,1694380417
112,rio grande,-32.035,-52.0986,19.06,89,83,6.55,BR,1694380426
113,yangiobod,41.1192,70.0941,21.65,32,24,2.9,UZ,1694380426
114,sabzevar,36.2126,57.6819,23.39,48,0,4.03,IR,1694380426
115,klyuchi,52.2667,79.1667,15.25,60,100,6.2,RU,1694380427
116,bonthe,7.5264,-12.505,25.51,87,100,2.81,SL,1694380427
117,ta`u,-14.2336,-169.5144,26.59,77,61,4.58,AS,1694380427
118,qarauyl,48.9451,79.255,16.18,53,50,2.22,KZ,1694380427
119,ribeira grande,38.5167,-28.7,22.1,80,14,0.89,PT,1694380428
120,caxito,-8.5785,13.6643,22.33,83,0,1.49,AO,1694380428
121,aasiaat,68.7098,-52.8699,0.89,71,100,2.96,GL,1694380428
122,santa ana,33.7456,-117.8678,37.2,53,75,5.66,US,1694380378
123,persembe,41.0656,37.7714,17.68,65,61,2.88,TR,1694380428
124,la'ie,21.6477,-157.9253,30.98,70,98,4.47,US,1694380428
125,kimbe,-5.5502,150.1429,24.21,90,99,2.32,PG,1694380429
126,kerikeri,-35.2268,173.9474,14.95,93,89,2.24,NZ,1694380429
127,magdagachi,53.45,125.8,6.92,85,100,2.53,RU,1694380429
